Company Name,Stock Symbol,Sector,Subsector,Listing Date,company_id,security_id
"2GO Group, Inc.",2GO,Services,Transportation Services,"May 15, 1995",29,146
"8990 Holdings, Inc.",HOUSE,Property,Property,"Dec 09, 2010",626,563
"A Brown Company, Inc.",BRN,Property,Property,"Feb 08, 1994",13,234
A. Soriano Corporation,ANS,Holding Firms,Holding Firms,"Oct 25, 1973",14,169
ABS-CBN Corporation,ABS,Services,Media,"Jul 08, 1992",114,123
ABS-CBN Holdings Corporation,ABSP,Services,Media,"Oct 07, 1999",15,259
"AC Energy Philippines, Inc.",ACEPH,Industrial,"Electricity, Energy, Power & Water","Jan 05, 1970",233,140
"ACE Enexor, Inc.",ACEX,Mining and Oil,Oil,"Aug 28, 2014",653,599
"APC Group, Inc.",APC,Services,Other Services,"Mar 08, 1994",177,182
"ATN Holdings, Inc.",ATN,Holding Firms,Holding Firms,"Sep 24, 1970",56,176
"AbaCore Capital Holdings, Inc.",ABA,Holding Firms,Holding Firms,"Oct 28, 1987",174,173
"Aboitiz Equity Ventures, Inc.",AEV,Holding Firms,Holding Firms,"Nov 16, 1994",16,183
Aboitiz Power Corporation,AP,Industrial,"Electricity, Energy, Power & Water","Jul 16, 2007",609,532
Abra Mining and Industrial Corporation,AR,Mining and Oil,Mining,"Dec 24, 1969",33,321
Acesite (Phils.) Hotel Corporation,ACE,Services,Hotel & Leisure,"Dec 05, 1986",48,370
"AgriNurture, Inc.",ANI,Industrial,"Food, Beverage & Tobacco","May 25, 2009",619,547
AllHome Corp.,HOME,Services,Retail,"Oct 10, 2019",674,647
"Alliance Global Group, Inc.",AGI,Holding Firms,Holding Firms,"Apr 19, 1999",212,179
"Alliance Select Foods International, Inc.",FOOD,Industrial,"Food, Beverage & Tobacco","Nov 08, 2006",602,524
"Alsons Consolidated Resources, Inc.",ACR,Industrial,"Electricity, Energy, Power & Water","Apr 12, 1993",121,170
"Altus Property Ventures, Inc.",APVI,SME,SME,"Jun 26, 2020",678,654
"Anchor Land Holdings, Inc.",ALHI,Property,Property,"Aug 08, 2007",612,536
Anglo Philippine Holdings Corporation,APO,Holding Firms,Holding Firms,"Jul 31, 1959",52,171
"Apex Mining Co., Inc.",APX,Mining and Oil,Mining,"Mar 07, 1974",178,318
"Apollo Global Capital, Inc.",APL,Services,Information Technology,"Oct 18, 2012",638,581
"Araneta Properties, Inc.",ARA,Property,Property,"Nov 14, 1989",38,294
Arthaland Corporation,ALCO,Property,Property,"Mar 19, 1996",172,316
Asia Amalgamated Holdings Corporation,AAA,Holding Firms,Holding Firms,"Mar 22, 1973",55,347
Asia United Bank Corporation,AUB,Financials,Banks,"May 17, 2013",641,584
Asiabest Group International Inc.,ABG,Holding Firms,Holding Firms,"Jul 10, 1979",176,350
"Asian Terminals, Inc.",ATI,Services,Transportation Services,"Jan 25, 1996",53,141
Atlas Consolidated Mining and Development Corporation,AT,Mining and Oil,Mining,"Nov 17, 1970",34,320
"Atok-Big Wedge Co., Inc.",AB,Mining and Oil,Mining,"Jan 08, 1948",19,181
Axelum Resources Corp.,AXLM,Industrial,"Food, Beverage & Tobacco","Oct 07, 2019",673,646
Ayala Corporation,AC,Holding Firms,Holding Firms,"Nov 08, 1976",57,180
"Ayala Land, Inc.",ALI,Property,Property,"Jul 05, 1991",180,293
AyalaLand Logistics Holdings Corp.,ALLHC,Holding Firms,Holding Firms,"Feb 28, 1990",26,202
"BDO Leasing and Finance, Inc.",BLFI,Financials,Other Financial Institutions,"Jan 06, 1997",31,121
"BDO Unibank, Inc.",BDO,Financials,Banks,"May 21, 2002",260,468
"BHI Holdings, Inc.",BH,Holding Firms,Holding Firms,"Apr 02, 1973",62,358
Bank of the Philippine Islands,BPI,Financials,Banks,"Oct 12, 1971",234,101
Basic Energy Corporation,BSC,Industrial,"Electricity, Energy, Power & Water","Oct 16, 1973",60,188
Belle Corporation,BEL,Property,Property,"Feb 02, 1977",21,252
Benguet Corporation,BC,Mining and Oil,Mining,"Jan 04, 1950",108,353
Berjaya Philippines Inc.,BCOR,Services,Casinos & Gaming,"Nov 29, 1948",9,391
Bloomberry Resorts Corporation,BLOOM,Services,Casinos & Gaming,"Oct 17, 2000",49,233
"Bogo-Medellin Milling Company, Inc.",BMM,Industrial,"Food, Beverage & Tobacco","Nov 16, 1950",181,359
"Boulevard Holdings, Inc.",BHI,Services,Hotel & Leisure,"Apr 28, 1997",63,187
Bright Kindle Resources & Investments Inc.,BKR,Financials,Other Financial Institutions,"Mar 21, 1995",66,116
"COL Financial Group, Inc.",COL,Financials,Other Financial Institutions,"Jul 12, 2006",601,522
"Cebu Air, Inc.",CEB,Services,Transportation Services,"Oct 26, 2010",624,560
"Cebu Holdings, Incorporated",CHI,Property,Property,"Feb 14, 1994",110,298
"Cebu Landmasters, Inc.",CLI,Property,Property,"Jun 02, 2017",668,635
Cebu Property Ventures and Development Corporation,CPV,Property,Property,"Mar 03, 1992",182,296
"Cemex Holdings Philippines, Inc.",CHP,Industrial,"Construction, Infrastructure & Allied Services","Jul 18, 2016",662,625
"Central Azucarera de Tarlac, Inc.",CAT,Industrial,"Food, Beverage & Tobacco","Apr 12, 1977",183,366
Centro Escolar University,CEU,Services,Education,"Nov 10, 1986",223,291
"Century Pacific Food, Inc.",CNPF,Industrial,"Food, Beverage & Tobacco","May 06, 2014",652,597
Century Peak Holdings Corporation,CPM,Mining and Oil,Mining,"Oct 06, 2009",621,549
"Century Properties Group, Inc.",CPG,Property,Property,"Jun 16, 1976",189,219
Chelsea Logistics and Infrastructure Holdings Corp.,C,Services,Transportation Services,"Aug 08, 2017",669,636
"Chemical Industries of the Philippines, Inc.",CIP,Industrial,Chemicals,"Nov 21, 1985",22,367
China Banking Corporation,CHIB,Financials,Banks,"Sep 01, 1927",184,104
Cirtek Holdings Philippines Corporation,TECH,Industrial,Electrical Components & Equipment,"Nov 18, 2011",630,569
"City & Land Developers, Incorporated",LAND,Property,Property,"Dec 13, 1999",209,308
Cityland Development Corporation,CDC,Property,Property,"Aug 02, 1983",39,297
"Citystate Savings Bank, Inc.",CSB,Financials,Banks,"Jan 03, 2002",228,457
Coal Asia Holdings Incorporated,COAL,Mining and Oil,Mining,"Oct 23, 2012",637,580
Concepcion Industrial Corporation,CIC,Industrial,Electrical Components & Equipment,"Nov 27, 2013",648,591
Concrete Aggregates Corporation,CA,Industrial,"Construction, Infra. & Allied Services","Oct 20, 1972",213,361
"Cosco Capital, Inc.",COSCO,Holding Firms,Holding Firms,"Sep 26, 1988",50,178
Crown Asia Chemicals Corporation,CROWN,Industrial,Chemicals,"Apr 27, 2015",657,611
"Crown Equities, Inc.",CEI,Property,Property,"Aug 16, 1994",186,191
Cyber Bay Corporation,CYBR,Property,Property,"Mar 19, 1991",67,295
"D&L Industries, Inc.",DNL,Industrial,"Food, Beverage & Tobacco","Dec 12, 2012",639,582
"D.M. Wenceslao & Associates, Incorporated",DMW,Property,Property,"Jun 29, 2018",671,641
"DFNN, Inc.",DFNN,Services,Information Technology,"Oct 30, 2000",187,125
DITO CME Holdings Corp.,DITO,Services,Information Technology,"Oct 01, 1975",36,324
"DMCI Holdings, Inc.",DMC,Holding Firms,Holding Firms,"Dec 18, 1995",188,192
"Da Vinci Capital Holdings, Inc.",DAVIN,Industrial,"Construction, Infra. & Allied Services","Sep 03, 1991",2,150
Del Monte Pacific Limited,DELM,Industrial,"Food, Beverage & Tobacco","Jun 10, 2013",642,585
Discovery World Corporation,DWC,Services,Hotel & Leisure,"Nov 21, 2013",647,590
"Dizon Copper-Silver Mines, Inc.",DIZ,Mining and Oil,Mining,"Feb 10, 1988",68,323
DoubleDragon Properties Corp.,DD,Property,Property,"Apr 07, 2014",651,596
EEI Corporation,EEI,Industrial,"Construction, Infra. & Allied Services","Jul 21, 1975",71,148
Eagle Cement Corporation,EAGLE,Industrial,"Construction, Infrastructure & Allied Services","May 29, 2017",667,634
East West Banking Corporation,EW,Financials,Banks,"May 07, 2012",634,573
"EasyCall Communications Philippines, Inc.",ECP,Services,Other Services,"May 05, 1992",70,126
Emperador Inc.,EMP,Industrial,"Food, Beverage & Tobacco","Dec 19, 2011",632,571
"Empire East Land Holdings, Inc.",ELI,Property,Property,"Jun 28, 1996",190,300
"Euro-Med Laboratories Phil., Inc.",EURO,Industrial,Chemicals,"Jul 02, 1998",219,236
"Ever-Gotesco Resources and Holdings, Inc.",EVER,Property,Property,"Sep 16, 1996",191,193
"Export and Industry Bank, Inc.",EIBA,Financials,Banks,"Jan 28, 1987",171,414
F & J Prince Holdings Corporation,FJP,Holding Firms,Holding Firms,"Dec 08, 1982",225,196
"Far Eastern University, Incorporated",FEU,Services,Education,"Jul 11, 1986",25,292
"Ferronoux Holdings, Inc.",FERRO,Financials,Other Financial Institutions,"Aug 13, 2013",643,586
Filinvest Development Corporation,FDC,Holding Firms,Holding Firms,"Dec 22, 1982",75,199
"Filinvest Land, Inc.",FLI,Property,Property,"Oct 25, 1993",226,302
"Filipino Fund, Inc.",FFI,Financials,Other Financial Institutions,"Sep 27, 1995",196,117
Filsyn Corporation,FYN,Industrial,Other Industrials,"Jun 03, 1975",80,372
First Abacus Financial Holdings Corporation,FAF,Financials,Other Financial Institutions,"Nov 17, 1994",81,118
First Gen Corporation,FGEN,Industrial,"Electricity, Energy, Power & Water","Feb 10, 2006",600,521
"First Metro Philippine Equity Exchange Traded Fund, Inc.",FMETF,ETF-Equity,ETF-Equity,"Dec 02, 2013",649,592
First Philippine Holdings Corporation,FPH,Industrial,"Electricity, Energy, Power & Water","May 23, 1963",197,197
"Forum Pacific, Inc.",FPI,Holding Firms,Holding Firms,"Dec 19, 1994",220,200
"Fruitas Holdings, Inc.",FRUIT,Industrial,"Food, Beverage & Tobacco","Nov 29, 2019",676,650
"GEOGRACE Resources Philippines, Inc.",GEO,Mining and Oil,Mining,"Feb 07, 1972",198,201
"GMA Holdings, Inc.",GMAP,Services,Media,"Jul 30, 2007",611,534
"GMA Network, Inc.",GMA7,Services,Media,"Jul 30, 2007",610,533
"GT Capital Holdings, Inc.",GTCAP,Holding Firms,Holding Firms,"Apr 20, 2012",633,572
"Ginebra San Miguel, Inc.",GSMI,Industrial,"Food, Beverage & Tobacco","Apr 18, 1995",94,160
"Global Ferronickel Holdings, Inc.",FNI,Mining and Oil,Mining,"Dec 14, 1994",224,190
"Global-Estate Resorts, Inc.",GERI,Property,Property,"Nov 23, 1995",193,307
"Globalport 900, Inc.",PORT,Services,Transportation Services,"Jun 09, 1948",129,384
"Globe Telecom, Inc.",GLO,Services,Telecommunications,"Aug 11, 1975",69,127
"Golden Bria Holdings, Inc.",HVN,Services,Other Services,"Jun 29, 2016",661,624
Grand Plaza Hotel Corporation,GPH,Services,Hotel & Leisure,"Dec 10, 1992",221,255
Greenergy Holdings Incorporated,GREEN,Industrial,Electrical Components & Equipment,"Sep 26, 1996",132,243
"Harbor Star Shipping Services, Inc.",TUGS,Services,Transportation Services,"Oct 30, 2013",644,587
"Holcim Philippines, Inc.",HLCM,Industrial,"Construction, Infra. & Allied Services","Jun 17, 1996",211,155
"House of Investments, Inc.",HI,Holding Firms,Holding Firms,"Jul 02, 1962",82,203
"I-Remit, Inc.",I,Financials,Other Financial Institutions,"Oct 17, 2007",613,538
"IP E-Game Ventures, Inc.",EG,Services,Casinos & Gaming,"Feb 17, 2010",623,552
"IPM Holdings, Inc.",IPM,Services,Other Services,"Jun 17, 1998",4,218
"Imperial Resources, Inc.",IMP,Services,Information Technology,"Aug 31, 1970",201,336
"Integrated Micro-Electronics, Inc.",IMI,Industrial,Electrical Components & Equipment,"Jan 21, 2010",622,551
"International Container Terminal Services, Inc.",ICT,Services,Transportation Services,"Mar 23, 1992",83,142
"Ionics, Inc.",ION,Industrial,Electrical Components & Equipment,"Jul 18, 1995",203,204
"Island Information & Technology, Inc.",IS,Services,Information Technology,"Dec 06, 1988",204,128
Italpinas Development Corporation,IDC,"Small, Medium & Emerging Board","Small, Medium & Emerging Board","Dec 07, 2015",660,617
"JG Summit Holdings, Inc.",JGS,Holding Firms,Holding Firms,"Aug 09, 1993",210,207
"Jackstones, Inc.",JAS,Services,Information Technology,"Oct 27, 1967",134,392
Jollibee Foods Corporation,JFC,Industrial,"Food, Beverage & Tobacco","Jul 14, 1993",86,158
Jolliville Holdings Corporation,JOH,Holding Firms,Holding Firms,"Jun 17, 2002",261,470
"Keppel Philippines Holdings, Inc.",KPH,Holding Firms,Holding Firms,"Aug 26, 1987",87,208
"Keppel Philippines Properties, Inc.",KEP,Property,Property,"Sep 11, 1989",88,306
"Kepwealth Property Phils., Inc.",KPPI,"Small, Medium & Emerging Board","Small, Medium & Emerging Board","Aug 19, 2019",672,645
"LBC Express Holdings, Inc.",LBC,Services,Transportation Services,"Dec 21, 2001",236,469
LMG Chemicals Corporation,LMG,Industrial,Chemicals,"Jan 07, 1986",205,379
"LT Group, Inc.",LTG,Holding Firms,Holding Firms,"Nov 07, 1947",12,225
Leisure & Resorts World Corporation,LR,Services,Casinos & Gaming,"Apr 17, 1958",96,253
Lepanto Consolidated Mining Company,LC,Mining and Oil,Mining,"Apr 30, 1947",98,326
"Liberty Flour Mills, Inc.",LFM,Industrial,"Food, Beverage & Tobacco","Apr 25, 1985",227,159
Lodestar Investment Holdings Corporation,LIHC,Holding Firms,Holding Firms,"May 26, 1989",37,377
Lopez Holdings Corporation,LPZ,Holding Firms,Holding Firms,"Nov 25, 1993",61,186
Lorenzo Shipping Corporation,LSC,Services,Transportation Services,"Jul 22, 1996",115,144
"MEDCO Holdings, Inc.",MED,Financials,Other Financial Institutions,"Nov 18, 1975",126,383
MJC Investments Corporation,MJIC,Holding Firms,Holding Firms,"Nov 11, 1955",24,194
"MRC Allied, Inc.",MRC,Property,Property,"May 18, 1995",131,309
Mabuhay Holdings Corporation,MHC,Holding Firms,Holding Firms,"Oct 22, 1990",206,217
Mabuhay Vinyl Corporation,MVC,Industrial,Chemicals,"Feb 05, 1997",100,242
"Macay Holdings, Inc.",MACAY,Industrial,"Food, Beverage & Tobacco","Jan 28, 1987",145,221
MacroAsia Corporation,MAC,Services,Transportation Services,"May 21, 1970",106,212
Makati Finance Corporation,MFIN,"Small, Medium & Emerging Board","Small, Medium & Emerging Board","Jan 06, 2003",263,503
Manila Broadcasting Company,MBC,Services,Media,"Oct 08, 1949",117,382
Manila Bulletin Publishing Corporation,MB,Services,Media,"Apr 18, 1990",1,130
Manila Electric Company,MER,Industrial,"Electricity, Energy, Power & Water","Jan 08, 1992",118,137
"Manila Jockey Club, Inc.",MJC,Services,Casinos & Gaming,"Oct 11, 1963",102,256
Manila Mining Corporation,MA,Mining and Oil,Mining,"Dec 17, 1959",119,328
"Manila Water Company, Inc.",MWC,Industrial,"Electricity, Energy, Power & Water","Mar 18, 2005",270,518
Manulife Financial Corporation,MFC,Financials,Other Financial Institutions,"Sep 27, 1999",120,120
"Marcventures Holdings, Inc.",MARC,Mining and Oil,Mining,"Jan 10, 1958",175,177
"Max's Group, Inc.",MAXS,Industrial,"Food, Beverage & Tobacco","Dec 15, 2000",135,163
Megawide Construction Corporation,MWIDE,Industrial,"Construction, Infra. & Allied Services","Feb 18, 2011",627,564
Megaworld Corporation,MEG,Property,Property,"Jun 15, 1994",127,215
MerryMart Consumer Corp.,MM,SME,SME,"Jun 15, 2020",677,653
Metro Alliance Holdings & Equities Corp.,MAH,Services,Transportation Services,"Dec 08, 1947",3,241
Metro Global Holdings Corporation,MGH,Holding Firms,Holding Firms,"May 04, 1964",192,198
Metro Pacific Investments Corporation,MPI,Holding Firms,Holding Firms,"Dec 15, 2006",604,526
"Metro Retail Stores Group, Inc.",MRSGI,Services,Retail,"Nov 24, 2015",659,616
Metropolitan Bank & Trust Company,MBT,Financials,Banks,"Feb 26, 1981",128,108
"Millennium Global Holdings, Inc.",MG,Industrial,"Food, Beverage & Tobacco","Mar 01, 1976",105,214
National Reinsurance Corporation of the Philippines,NRCP,Financials,Other Financial Institutions,"Apr 27, 2007",606,529
NextGenesis Corporation,NXGEN,Financials,Banks,"Oct 08, 1996",179,100
"NiHAO Mineral Resources International, Inc.",NI,Mining and Oil,Mining,"Oct 03, 1990",103,213
Nickel Asia Corporation,NIKL,Mining and Oil,Mining,"Nov 22, 2010",625,561
Now Corporation,NOW,Services,Information Technology,"Jul 23, 2003",264,510
Omico Corporation,OM,Mining and Oil,Mining,"May 02, 1969",207,330
"Oriental Peninsula Resources Group, Inc.",ORE,Mining and Oil,Mining,"Dec 19, 2007",616,541
Oriental Petroleum and Minerals Corporation,OPM,Mining and Oil,Oil,"Oct 14, 1970",43,338
"PAL Holdings, Inc.",PAL,Services,Transportation Services,"Jan 04, 1954",20,189
"PH Resorts Group Holdings, Inc.",PHR,Services,Casinos & Gaming,"Nov 24, 2011",631,570
"PICOP Resources, Inc.",PCP,Industrial,Other Industrials,"Oct 29, 1973",99,245
PLDT Inc.,TEL,Services,Telecommunications,"Sep 17, 1953",6,134
PTFC Redevelopment Corporation,TFC,Property,Property,"Dec 19, 1955",8,413
PXP Energy Corporation,PXP,Mining and Oil,Oil,"Sep 12, 2011",628,566
Pacific Online Systems Corporation,LOTO,Services,Casinos & Gaming,"Apr 12, 2007",605,528
"Pacifica Holdings, Inc.",PA,Holding Firms,Holding Firms,"Nov 23, 1959",109,342
Panasonic Manufacturing Philippines Corporation,PMPC,Industrial,Electrical Components & Equipment,"Jan 21, 1983",104,239
"Paxys, Inc.",PAX,Services,Other Services,"Mar 22, 1971",194,195
"Pepsi-Cola Products Philippines, Inc.",PIP,Industrial,"Food, Beverage & Tobacco","Feb 01, 2008",617,543
PetroEnergy Resources Corporation,PERC,Industrial,"Electricity, Energy, Power & Water","Aug 11, 2004",578,516
Petron Corporation,PCOR,Industrial,"Electricity, Energy, Power & Water","Sep 07, 1994",136,139
PhilWeb Corporation,WEB,Services,Information Technology,"Dec 08, 1969",122,136
Philab Holdings Corp.,DNA,"Small, Medium & Emerging Board","Small, Medium & Emerging Board","Sep 03, 2009",620,548
Philcomsat Holdings Corporation,PHC,Services,Other Services,"Nov 28, 1958",97,220
Philex Mining Corporation,PX,Mining and Oil,Mining,"Nov 23, 1956",137,331
Philippine Bank of Communications,PBC,Financials,Banks,"May 12, 1988",208,110
Philippine Business Bank,PBB,Financials,Banks,"Feb 19, 2013",640,583
Philippine Estates Corporation,PHES,Property,Property,"Jan 21, 1985",138,310
"Philippine Infradev Holdings, Inc.",IRC,Property,Property,"Feb 27, 1978",84,337
Philippine National Bank,PNB,Financials,Banks,"Jun 21, 1989",139,109
Philippine National Construction Corporation,PNC,Industrial,"Construction, Infra. & Allied Services","Mar 13, 1974",7,151
"Philippine Racing Club, Inc.",PRC,Services,Casinos & Gaming,"Mar 02, 1952",141,257
Philippine Realty and Holdings Corporation,RLT,Property,Property,"Sep 07, 1987",40,313
Philippine Savings Bank,PSB,Financials,Banks,"Oct 10, 1994",142,112
Philippine Seven Corporation,SEVN,Services,Retail,"Feb 04, 1998",143,251
Philippine Telegraph and Telephone Corporation,PTT,Services,Telecommunications,"Jan 10, 1990",76,132
Philippine Trust Company,PTC,Financials,Banks,"Feb 17, 1988",144,393
Phinma Corporation,PHN,Industrial,"Construction, Infra. & Allied Services","Aug 18, 1958",107,184
"Phoenix Petroleum Philippines, Inc.",PNX,Industrial,"Electricity, Energy, Power & Water","Jul 11, 2007",608,531
Pilipinas Shell Petroleum Corporation,SHLPH,Industrial,"Electricity, Energy, Power & Water","Nov 03, 2016",663,629
Premiere Horizon Alliance Corporation,PHA,Services,Other Services,"May 05, 1997",148,258
Premium Leisure Corp.,PLC,Services,Casinos & Gaming,"Aug 28, 1995",158,344
"Prime Media Holdings, Inc.",PRIM,Holding Firms,Holding Firms,"Jul 29, 1964",30,106
"Primetown Property Group, Inc.",PMT,Property,Property,"Dec 08, 1995",111,311
Primex Corporation,PRMX,Property,Property,"Aug 10, 2001",214,419
Pryce Corporation,PPC,Industrial,Chemicals,"Oct 29, 1991",150,246
"Puregold Price Club, Inc.",PGOLD,Services,Retail,"Oct 05, 2011",629,567
RFM Corporation,RFM,Industrial,"Food, Beverage & Tobacco","Feb 21, 1966",77,164
Republic Glass Holdings Corporation,REG,Holding Firms,Holding Firms,"Jul 17, 1959",153,153
Rizal Commercial Banking Corporation,RCB,Financials,Banks,"Nov 06, 1986",232,113
Robinsons Land Corporation,RLC,Property,Property,"Oct 16, 1989",195,312
"Robinsons Retail Holdings, Inc.",RRHI,Services,Retail,"Nov 11, 2013",646,589
Rockwell Land Corporation,ROCK,Property,Property,"May 11, 2012",635,574
"Roxas Holdings, Inc.",ROX,Industrial,"Food, Beverage & Tobacco","Aug 08, 1996",64,250
"Roxas and Company, Inc.",RCI,Industrial,"Food, Beverage & Tobacco","Nov 29, 1948",54,363
SBS Philippines Corporation,SBS,Services,Other Services,"Aug 10, 2015",658,612
SFA Semicon Philippines Corporation,SSP,Industrial,Electrical Components & Equipment,"Dec 01, 2014",655,605
SM Investments Corporation,SM,Holding Firms,Holding Firms,"Mar 22, 2005",599,520
"SM Prime Holdings, Inc.",SMPH,Property,Property,"Jul 05, 1994",112,314
"SOCResources, Inc.",SOC,Holding Firms,Holding Firms,"Jan 05, 1994",161,345
SPC Power Corporation,SPC,Industrial,"Electricity, Energy, Power & Water","Apr 02, 2002",237,466
"SSI Group, Inc.",SSI,Services,Retail,"Nov 07, 2014",654,604
"STI Education Systems Holdings, Inc.",STI,Services,Education,"Oct 12, 1976",222,376
San Miguel Corporation,SMC,Holding Firms,Holding Firms,"Nov 05, 1948",154,165
"San Miguel Food and Beverage, Inc.",FB,Industrial,"Food, Beverage & Tobacco","Apr 02, 1973",151,161
Seafront Resources Corporation,SPM,Holding Firms,Holding Firms,"May 07, 1974",156,223
Security Bank Corporation,SECB,Financials,Banks,"Jun 08, 1995",32,114
Semirara Mining and Power Corporation,SCC,Mining and Oil,Mining,"Nov 28, 1983",157,396
"Shakey's Pizza Asia Ventures, Inc.",PIZZA,Industrial,Food Beverage & Tobacco,"Dec 15, 2016",664,631
"Shang Properties, Inc.",SHNG,Property,Property,"Jun 13, 1991",218,301
"Solid Group, Inc.",SGI,Holding Firms,Holding Firms,"Apr 26, 1948",160,224
"Sta. Lucia Land, Inc.",SLI,Property,Property,"Sep 14, 1987",41,417
Steniel Manufacturing Corporation,STN,Industrial,Other Industrials,"Nov 22, 1993",164,249
Sun Life Financial Inc.,SLF,Financials,Other Financial Institutions,"Mar 24, 2000",78,122
"Suntrust Home Developers, Inc.",SUN,Property,Property,"Feb 11, 1959",73,254
Supercity Realty Development Corporation,SRDC,Industrial,"Construction, Infra. & Allied Services","Dec 19, 2003",479,513
"Swift Foods, Inc.",SFI,Industrial,"Food, Beverage & Tobacco","Nov 15, 1994",165,402
"Synergy Grid & Development Phils., Inc.",SGP,Holding Firms,Holding Firms,"May 10, 1972",166,385
TKC Metals Corporation,T,Industrial,"Construction, Infra. & Allied Services","Jul 20, 2001",163,418
"The Philippine Stock Exchange, Inc.",PSE,Financials,Other Financial Institutions,"Dec 15, 2003",478,512
The Philodrill Corporation,OV,Mining and Oil,Oil,"Sep 25, 1969",45,341
"Top Frontier Investment Holdings, Inc.",TFHI,Holding Firms,Holding Firms,"Jan 13, 2014",650,595
Transpacific Broadband Group Int`l. Inc.,TBGI,Services,Information Technology,"Dec 12, 2003",269,511
"Unioil Resources & Holdings Company, Inc.",UNI,Holding Firms,Holding Firms,"Jul 27, 1987",92,227
Union Bank of the Philippines,UBP,Financials,Banks,"Jun 29, 1992",167,115
United Paragon Mining Corporation,UPM,Mining and Oil,Mining,"Apr 02, 1973",168,334
Universal Robina Corporation,URC,Industrial,"Food, Beverage & Tobacco","Mar 25, 1994",124,167
"Vantage Equities, Inc.",V,Financials,Other Financial Institutions,"Mar 30, 1993",65,135
"Victorias Milling Company, Inc.",VMC,Industrial,"Food, Beverage & Tobacco","Nov 15, 1993",123,415
"Vista Land & Lifescapes, Inc.",VLL,Property,Property,"Jun 25, 2007",607,530
"Vistamalls, Inc.",STR,Property,Property,"Nov 17, 1970",147,333
Vitarich Corporation,VITA,Industrial,"Food, Beverage & Tobacco","Feb 08, 1995",28,168
Vivant Corporation,VVT,Industrial,"Electricity, Energy, Power & Water","Jun 23, 1994",79,133
Vulcan Industrial & Mining Corporation,VUL,Industrial,"Construction, Infra. & Allied Services","Aug 31, 1970",46,346
"Waterfront Philippines, Incorporated",WPI,Services,Hotel & Leisure,"Mar 17, 1995",173,228
"Wellex Industries, Incorporated",WIN,Holding Firms,Holding Firms,"Jan 09, 1958",90,229
"Wilcon Depot, Inc.",WLCON,Services,Retail,"Mar 31, 2017",665,632
Xurpas Inc.,X,"Small, Medium & Emerging Board","Small, Medium & Emerging Board","Dec 02, 2014",656,607
"Zeus Holdings, Inc.",ZHI,Holding Firms,Holding Firms,"Jul 15, 1991",89,232
"iPeople, inc.",IPO,Services,Education,"Jan 24, 1990",85,205
